17:00:32 INFO  application.ApplicationManager - Star browser CHROME
17:00:34 INFO  application.ApplicationManager - Navigate to: https://ilcarro.xyz/search
17:00:34 INFO  tests.TestBase - Start method createNewCarCSV
17:00:34 INFO  application.MyListener - Start search element By.xpath: //a[.=' Log in '].
17:00:34 INFO  application.MyListener - Element By.xpath: //a[.=' Log in '] found.
17:00:34 INFO  application.MyListener - Start search element By.xpath: //a[.=' Log in '].
17:00:34 INFO  application.MyListener - Element By.xpath: //a[.=' Log in '] found.
17:00:34 INFO  application.MyListener - Start search element By.id: email.
17:00:34 INFO  application.MyListener - Element By.id: email found.
17:00:34 INFO  application.MyListener - Start search element By.id: password.
17:00:34 INFO  application.MyListener - Element By.id: password found.
17:00:34 INFO  application.MyListener - Start search element By.xpath: //*[@type='submit'].
17:00:34 INFO  application.MyListener - Element By.xpath: //*[@type='submit'] found.
17:00:37 INFO  application.MyListener - Start search element By.xpath: //div[@class='dialog-container']//h2.
17:00:37 INFO  application.MyListener - Element By.xpath: //div[@class='dialog-container']//h2 found.
17:00:37 INFO  application.MyListener - Start search element By.xpath: //button[.='Ok'].
17:00:37 INFO  application.MyListener - Element By.xpath: //button[.='Ok'] found.
17:00:37 INFO  application.MyListener - Start search element By.id: 1.
17:00:37 INFO  application.MyListener - Element By.id: 1 found.
17:00:37 INFO  application.MyListener - Start search element By.xpath: //h1[contains(.,' Let the car work ')].
17:00:37 INFO  application.MyListener - Element By.xpath: //h1[contains(.,' Let the car work ')] found.
17:00:37 INFO  application.MyListener - Start search element By.id: pickUpPlace.
17:00:37 INFO  application.MyListener - Element By.id: pickUpPlace found.
17:00:40 INFO  application.MyListener - Start search element By.xpath: //div[@class='pac-item'].
17:00:40 INFO  application.MyListener - Element By.xpath: //div[@class='pac-item'] found.
17:00:42 INFO  application.MyListener - Start search element By.id: make.
17:00:42 INFO  application.MyListener - Element By.id: make found.
17:00:42 INFO  application.MyListener - Start search element By.id: model.
17:00:42 INFO  application.MyListener - Element By.id: model found.
17:00:42 INFO  application.MyListener - Start search element By.id: year.
17:00:42 INFO  application.MyListener - Element By.id: year found.
17:00:42 INFO  application.MyListener - Start search element By.id: engine.
17:00:42 INFO  application.MyListener - Element By.id: engine found.
17:00:42 INFO  application.MyListener - Start search element By.id: fuel.
17:00:42 INFO  application.MyListener - Element By.id: fuel found.
17:00:42 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "Petrol"].
17:00:42 INFO  application.MyListener - Element By.xpath: .//option[@value = "Petrol"] found.
17:00:42 INFO  application.MyListener - Start search element By.id: gear.
17:00:42 INFO  application.MyListener - Element By.id: gear found.
17:00:42 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "MT"].
17:00:42 INFO  application.MyListener - Element By.xpath: .//option[@value = "MT"] found.
17:00:42 INFO  application.MyListener - Start search element By.id: wheelsDrive.
17:00:42 INFO  application.MyListener - Element By.id: wheelsDrive found.
17:00:42 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "AWD"].
17:00:42 INFO  application.MyListener - Element By.xpath: .//option[@value = "AWD"] found.
17:00:42 INFO  application.MyListener - Start search element By.id: doors.
17:00:42 INFO  application.MyListener - Element By.id: doors found.
17:00:42 INFO  application.MyListener - Start search element By.id: seats.
17:00:42 INFO  application.MyListener - Element By.id: seats found.
17:00:42 INFO  application.MyListener - Start search element By.id: class.
17:00:42 INFO  application.MyListener - Element By.id: class found.
17:00:42 INFO  application.MyListener - Start search element By.id: fuelConsumption.
17:00:42 INFO  application.MyListener - Element By.id: fuelConsumption found.
17:00:43 INFO  application.MyListener - Start search element By.id: serialNumber.
17:00:43 INFO  application.MyListener - Element By.id: serialNumber found.
17:00:43 INFO  application.MyListener - Start search element By.id: price.
17:00:43 INFO  application.MyListener - Element By.id: price found.
17:00:43 INFO  application.MyListener - Start search element By.id: distance.
17:00:43 INFO  application.MyListener - Element By.id: distance found.
17:00:43 INFO  application.MyListener - Start search element By.cssSelector: .feature-input.
17:00:43 INFO  application.MyListener - Element By.cssSelector: .feature-input found.
17:00:43 INFO  application.MyListener - Start search element By.id: about.
17:00:43 INFO  application.MyListener - Element By.id: about found.
17:00:43 INFO  application.MyListener - Start search element By.id: photos.
17:00:43 INFO  application.MyListener - Element By.id: photos found.
17:00:43 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:00:43 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:00:44 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:00:44 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:00:44 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:00:44 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:00:45 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:00:45 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:00:45 INFO  application.MyListener - Start search element By.xpath: //*[@type='submit'].
17:00:45 INFO  application.MyListener - Element By.xpath: //*[@type='submit'] found.
17:00:45 INFO  application.MyListener - Start search element By.xpath: //*[contains(@id, 'mat-dialog')].
17:00:46 INFO  application.MyListener - Element By.xpath: //*[contains(@id, 'mat-dialog')] found.
17:00:46 INFO  application.MyListener - Start search element By.xpath: //h2[contains(., 'successful')].
